,ID Database,Name,SMILES,HBA,HBD,RB,LogP,TPSA,MW,Heavy Atom,Ring Count,Fraction CSP3,subLibrary,Library
0,5,5,CNC(=O)c1ccc(O[C@H](C)C(=O)N2CCN(C[C@H]2C)C(=O)c2ccccc2)cc1,4.0,1.0,5.0,2.1865999999999994,78.95,409.48600000000005,30.0,30.0,30.0,CD4/gp120,PPI
1,13,13,Fc1ccc(C#N)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,4.0,1.0,3.0,2.34598,97.26999999999998,404.4010000000002,30.0,30.0,30.0,CD4/gp120,PPI
2,54,54,COc1ccc(Cl)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,4.0,1.0,4.0,2.997200000000001,82.71000000000001,425.87200000000024,30.0,30.0,30.0,CD4/gp120,PPI
3,66,66,FC(F)(F)Oc1ccc(Br)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,4.0,1.0,4.0,3.9963000000000024,82.71000000000001,524.2930000000003,33.0,33.0,33.0,CD4/gp120,PPI
4,70,70,CC[C@H]1CN(CCN1C(=O)C(=O)c1c[nH]c2cccc(F)c12)C(=O)c1ccccc1,3.0,1.0,4.0,3.2529000000000003,73.48,407.44500000000016,30.0,30.0,30.0,CD4/gp120,PPI
5,87,87,Fc1ccc2c(c[nH]c2c1)C(=O)C(=O)N1CCN(CC1)C(=O)c1ccccc1,3.0,1.0,3.0,2.4743000000000004,73.48,379.39100000000013,28.0,28.0,28.0,CD4/gp120,PPI
6,100,100,CNC(=O)c1ccc(O[C@H](C)C(=O)N2CCN(C[C@H]2C)C(=O)c2ccccc2)cc1C,4.0,1.0,5.0,2.4950200000000002,78.95,423.5130000000001,31.0,31.0,31.0,CD4/gp120,PPI
7,105,105,CNC(=O)c1nccc2c(O[C@@H](C)C(=O)N3CCN(C[C@H]3C)C(=O)c3ccccc3)ccc(F)c12,5.0,1.0,5.0,2.8739000000000017,91.83999999999997,478.52400000000017,35.0,35.0,35.0,CD4/gp120,PPI
8,116,116,CC(C)[C@@H]1CN(CCN1C(=O)C(=O)c1c[nH]c2cccc(F)c12)C(=O)c1ccccc1,3.0,1.0,4.0,3.498900000000001,73.48,421.47200000000015,31.0,31.0,31.0,CD4/gp120,PPI
9,122,122,CCOC(=O)[C@H](Cc1ccc(\\N=C\\c2cc(Br)ccc2O)cc1)N1C(=O)c2ccccc2C1=O,6.0,1.0,7.0,4.675700000000004,96.27000000000001,521.3670000000002,34.0,34.0,34.0,CD4/gp120,PPI
10,125,125,C[C@@H](Oc1cccc2c1cc[nH]c2=O)C(=O)N1CCN(C[C@H]1C)C(=O)c1ccccc1,4.0,1.0,4.0,2.6685000000000008,82.71000000000001,419.48100000000017,31.0,31.0,31.0,CD4/gp120,PPI
11,126,126,CCOC(=O)C(=C/c1ccc(o1)-c1cccc(c1)N(=O)=O)\\C(=O)c1ccccc1,6.0,0.0,7.0,4.684200000000004,99.64999999999998,391.37900000000013,29.0,29.0,29.0,CD4/gp120,PPI
12,158,158,CCC[C@H]1CN(CCN1C(=O)C(=O)c1c[nH]c2cccc(F)c12)C(=O)c1ccccc1,3.0,1.0,5.0,3.6430000000000016,73.48,421.47200000000015,31.0,31.0,31.0,CD4/gp120,PPI
13,189,189,COc1cccc2c(c[nH]c12)C(=O)C(=O)N1CCN(CC1)C(=O)c1ccccc1,4.0,1.0,4.0,2.3438,82.71000000000001,391.42700000000013,29.0,29.0,29.0,CD4/gp120,PPI
14,190,190,COC(=O)[C@H]1CN(CCN1C(=O)c1ccccc1)C(=O)C(=O)c1c[nH]c2cccc(F)c12,5.0,1.0,4.0,2.0158999999999994,99.78,437.4270000000002,32.0,32.0,32.0,CD4/gp120,PPI
15,193,193,C[C@@H](Oc1cccc2oc(C)nc12)C(=O)N1CCN(C[C@H]1C)C(=O)c1ccccc1,5.0,0.0,4.0,3.276620000000002,75.88000000000001,407.4700000000001,30.0,30.0,30.0,CD4/gp120,PPI
16,212,212,C[C@@H](Oc1cccc2[nH]nc(C)c12)C(=O)N1CCN(C[C@H]1C)C(=O)c1ccccc1,4.0,1.0,4.0,3.011720000000002,78.53,406.4860000000001,30.0,30.0,30.0,CD4/gp120,PPI
17,273,273,Brc1ccc2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c2c1,3.0,1.0,3.0,3.0977000000000015,73.48,440.2970000000002,28.0,28.0,28.0,CD4/gp120,PPI
18,277,277,C\\C=C\\n1cc(C(=O)C(=O)N2CCN(CC2)C(=O)c2ccccc2)c2ccccc12,4.0,0.0,4.0,3.2992000000000017,62.620000000000005,401.466,30.0,30.0,30.0,CD4/gp120,PPI
19,279,279,CCc1cccc2c(c[nH]c12)C(=O)C(=O)N1CCN(CC1)C(=O)c1ccccc1,3.0,1.0,4.0,2.8976000000000015,73.48,389.4550000000001,29.0,29.0,29.0,CD4/gp120,PPI
20,299,299,CC(C)C[C@H]1CN(CCN1C(=O)c1ccccc1)C(=O)C(=O)c1c[nH]c2cccc(F)c12,3.0,1.0,5.0,3.889000000000003,73.48,435.4990000000002,32.0,32.0,32.0,CD4/gp120,PPI
21,300,300,C[C@H]1CN(CCN1C(=O)c1ccccc1)C(=O)C(=O)c1c[nH]c2cccc(F)c12,3.0,1.0,3.0,2.862800000000001,73.48,393.4180000000001,29.0,29.0,29.0,CD4/gp120,PPI
22,310,310,COc1cc2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c2cc1OC,5.0,1.0,5.0,2.3523999999999994,91.94000000000001,421.45300000000015,31.0,31.0,31.0,CD4/gp120,PPI
23,381,381,CC(=O)Oc1cccc2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,5.0,1.0,4.0,2.2605000000000004,99.78,419.4370000000002,31.0,31.0,31.0,CD4/gp120,PPI
24,382,382,Fc1ccc(F)c2c(c[nH]c12)C(=O)C(=O)N1CCN(CC1)C(=O)c1ccccc1,3.0,1.0,3.0,2.6134000000000004,73.48,397.38100000000014,29.0,29.0,29.0,CD4/gp120,PPI
25,387,387,CNC(=O)c1cc(OC)c(O[C@@H](C)C(=O)N2CCN(C[C@H]2C)c2nccc3[nH]ccc23)cn1,7.0,2.0,6.0,1.8306999999999995,112.67999999999999,452.5150000000001,33.0,33.0,33.0,CD4/gp120,PPI
26,403,403,CNC(=O)c1ccc(O[C@H](C)C(=O)N2CCN(C[C@H]2C)C(=O)c2ccccc2)c(F)c1,4.0,1.0,5.0,2.3257000000000003,78.95,427.47600000000006,31.0,31.0,31.0,CD4/gp120,PPI
27,416,416,CC(C)C[C@H]1CN(CCN1C(=O)C(=O)c1c[nH]c2cccc(F)c12)C(=O)c1ccccc1,3.0,1.0,5.0,3.889000000000002,73.48,435.49900000000014,32.0,32.0,32.0,CD4/gp120,PPI
28,419,419,O=C(N1CCN(CC1)C(=O)c1ccccc1)C(=O)c1c[nH]c2c(cccc12)C#N,4.0,1.0,3.0,2.20688,97.27000000000001,386.4110000000001,29.0,29.0,29.0,CD4/gp120,PPI
29,427,427,Clc1cccc2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,3.0,1.0,3.0,2.988600000000001,73.48,395.8460000000001,28.0,28.0,28.0,CD4/gp120,PPI
30,434,434,Cn1cc(C(=O)C(=O)N2CCN(CC2)C(=O)c2ccccc2)c2ccccc12,4.0,0.0,3.0,2.3456,62.620000000000005,375.428,28.0,28.0,28.0,CD4/gp120,PPI
31,437,437,Clc1ccc2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c2c1,3.0,1.0,3.0,2.988600000000001,73.48,395.8460000000001,28.0,28.0,28.0,CD4/gp120,PPI
