,ID Database,Name,SMILES,HBA,HBD,RB,LogP,TPSA,MW,Heavy Atom,Ring Count,Fraction CSP3,subLibrary,Library,PPI,Epigenetic
0,FQNP392,Lichexanthone,O(C)c1cc(O)c2C(=O)c3c(C)cc(OC)cc3Oc2c1,5.0,1.0,2.0,2.9774200000000013,68.9,286.283,21.0,21.0,21.0,BIOFACQUIM,BIOFACQUIM,No,No
1,FQNP391,Methyl_haematommate,O=C(OC)c1c(O)c(C=O)c(O)cc1C,5.0,2.0,2.0,1.00532,83.83,210.185,15.0,15.0,15.0,BIOFACQUIM,BIOFACQUIM,No,No
2,FQNP393,Methyl_orsellinate,O=C(OC)c1c(O)cc(O)cc1C,4.0,2.0,1.0,1.19282,66.76,182.175,13.0,13.0,13.0,BIOFACQUIM,BIOFACQUIM,No,No
3,FQNP390,Gyrophoric_acid,O=C(Oc1cc(O)c(C(=O)O)c(C)c1)c1c(O)cc(OC(=O)c2c(O)cc(O)cc2C)cc1C,9.0,5.0,5.0,3.5708600000000006,170.82,468.4140000000002,34.0,34.0,34.0,BIOFACQUIM,BIOFACQUIM,No,No
4,FQNP389,Lecanorin,O=C(Oc1cc(O)cc(C)c1)c1c(O)cc(O)cc1C,5.0,3.0,2.0,2.6394400000000005,86.99000000000002,274.272,20.0,20.0,20.0,BIOFACQUIM,BIOFACQUIM,No,No
5,FQNP394,Orcinol,Oc1cc(O)cc(C)c1,2.0,2.0,0.0,1.4062199999999998,40.46,124.13899999999997,9.0,9.0,9.0,BIOFACQUIM,BIOFACQUIM,No,No
6,FQNP340,5-hydroxy-6_8-dimethoxy-2_3-dimethyl-4H-naphtho[2_3-b]-pyran-4-one,O(C)c1c2c(c(O)c3C(=O)C(C)=C(C)Oc13)c(OC)cc(OC)c2,6.0,1.0,3.0,3.2944400000000016,78.13000000000002,330.336,24.0,24.0,24.0,BIOFACQUIM,BIOFACQUIM,No,No
7,FQNP341,Rubrofusarin_B,O(C)c1c2c(c(O)c3C(=O)C=C(C)Oc13)c(OC)cc(OC)c2,6.0,1.0,3.0,2.9860200000000012,78.13000000000002,316.309,23.0,23.0,23.0,BIOFACQUIM,BIOFACQUIM,No,No
8,FQNP343,Citrinin,O=C(O)C=1C(=O)C(C)=C2[C@H](C)[C@@H](C)OC=C2C=1O,4.0,2.0,1.0,1.721,83.83,250.25,18.0,18.0,18.0,BIOFACQUIM,BIOFACQUIM,No,No
9,FQNP344,4-hydroxybenzoic_acid_methyl_ester,O=C(OC)c1ccc(O)cc1,3.0,1.0,1.0,1.1788,46.53,152.14899999999997,11.0,11.0,11.0,BIOFACQUIM,BIOFACQUIM,No,No
10,FQNP342,Emodin,O=C1c2c(O)cc(O)cc2C(=O)c2c1c(O)cc(C)c2,5.0,3.0,0.0,1.88722,94.83,270.23999999999995,20.0,20.0,20.0,BIOFACQUIM,BIOFACQUIM,No,No
11,FQNP384,4-(1'_5'-dimethylhex-4'-enyl)-2-methylphenol,Oc1c(C)cc([C@@H](CC/C=C(\C)/C)C)cc1,1.0,1.0,4.0,4.550520000000004,20.23,218.34,16.0,16.0,16.0,BIOFACQUIM,BIOFACQUIM,No,No
12,FQNP349,Cyclolaudenyl_Acetate,O=C(O[C@@H]1C(C)(C)C2[C@@]3([C@]4(C([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC5)CC4)CC2)C3)CC1)C,2.0,0.0,6.0,8.985700000000003,26.3,482.7930000000005,35.0,35.0,35.0,BIOFACQUIM,BIOFACQUIM,No,No
