,ID Database,Name,SMILES,HBA,HBD,RB,LogP,TPSA,MW,Heavy Atom,Ring Count,Fraction CSP3,subLibrary,Library,PPI,Epigenetic
0,5,5,CNC(=O)c1ccc(O[C@H](C)C(=O)N2CCN(C[C@H]2C)C(=O)c2ccccc2)cc1,4.0,1.0,5.0,2.1865999999999994,78.95,409.48600000000016,30.0,30.0,30.0,CD4/gp120,PPI,Yes,No
1,13,13,Fc1ccc(C#N)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,4.0,1.0,3.0,2.34598,97.26999999999998,404.4010000000002,30.0,30.0,30.0,CD4/gp120,PPI,Yes,No
2,54,54,COc1ccc(Cl)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,4.0,1.0,4.0,2.997200000000001,82.71000000000002,425.8720000000001,30.0,30.0,30.0,CD4/gp120,PPI,Yes,No
3,66,66,FC(F)(F)Oc1ccc(Br)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,4.0,1.0,4.0,3.9963000000000015,82.71000000000002,524.2930000000003,33.0,33.0,33.0,CD4/gp120,PPI,Yes,No
4,70,70,CC[C@H]1CN(CCN1C(=O)C(=O)c1c[nH]c2cccc(F)c12)C(=O)c1ccccc1,3.0,1.0,4.0,3.2529000000000003,73.48,407.44500000000016,30.0,30.0,30.0,CD4/gp120,PPI,Yes,No
5,87,87,Fc1ccc2c(c[nH]c2c1)C(=O)C(=O)N1CCN(CC1)C(=O)c1ccccc1,3.0,1.0,3.0,2.4743000000000004,73.48,379.3910000000001,28.0,28.0,28.0,CD4/gp120,PPI,Yes,No
6,100,100,CNC(=O)c1ccc(O[C@H](C)C(=O)N2CCN(C[C@H]2C)C(=O)c2ccccc2)cc1C,4.0,1.0,5.0,2.49502,78.95,423.51300000000015,31.0,31.0,31.0,CD4/gp120,PPI,Yes,No
7,105,105,CNC(=O)c1nccc2c(O[C@@H](C)C(=O)N3CCN(C[C@H]3C)C(=O)c3ccccc3)ccc(F)c12,5.0,1.0,5.0,2.8739000000000017,91.83999999999996,478.52400000000017,35.0,35.0,35.0,CD4/gp120,PPI,Yes,No
8,116,116,CC(C)[C@@H]1CN(CCN1C(=O)C(=O)c1c[nH]c2cccc(F)c12)C(=O)c1ccccc1,3.0,1.0,4.0,3.4989000000000012,73.48,421.47200000000015,31.0,31.0,31.0,CD4/gp120,PPI,Yes,No
9,122,122,CCOC(=O)[C@H](Cc1ccc(\\N=C\\c2cc(Br)ccc2O)cc1)N1C(=O)c2ccccc2C1=O,6.0,1.0,7.0,4.675700000000004,96.27,521.3670000000002,34.0,34.0,34.0,CD4/gp120,PPI,Yes,No
10,125,125,C[C@@H](Oc1cccc2c1cc[nH]c2=O)C(=O)N1CCN(C[C@H]1C)C(=O)c1ccccc1,4.0,1.0,4.0,2.6685000000000008,82.71000000000002,419.48100000000017,31.0,31.0,31.0,CD4/gp120,PPI,Yes,No
11,126,126,CCOC(=O)C(=C/c1ccc(o1)-c1cccc(c1)N(=O)=O)\\C(=O)c1ccccc1,6.0,0.0,7.0,4.684200000000004,99.64999999999998,391.3790000000001,29.0,29.0,29.0,CD4/gp120,PPI,Yes,No
12,158,158,CCC[C@H]1CN(CCN1C(=O)C(=O)c1c[nH]c2cccc(F)c12)C(=O)c1ccccc1,3.0,1.0,5.0,3.6430000000000016,73.48,421.47200000000015,31.0,31.0,31.0,CD4/gp120,PPI,Yes,No
13,189,189,COc1cccc2c(c[nH]c12)C(=O)C(=O)N1CCN(CC1)C(=O)c1ccccc1,4.0,1.0,4.0,2.3438,82.71000000000002,391.4270000000001,29.0,29.0,29.0,CD4/gp120,PPI,Yes,No
14,190,190,COC(=O)[C@H]1CN(CCN1C(=O)c1ccccc1)C(=O)C(=O)c1c[nH]c2cccc(F)c12,5.0,1.0,4.0,2.0159,99.78,437.42700000000013,32.0,32.0,32.0,CD4/gp120,PPI,Yes,No
