,Descriptors,Coeff
125,125,1.486
71,71,1.469
49,49,1.419
146,146,1.122
46,46,1.087
164,164,1.036
106,106,1.011
41,41,0.972
30,30,0.969
136,136,0.948
81,81,0.931
54,54,0.882
130,130,0.867
100,100,0.801
94,94,0.787
103,103,0.779
62,62,0.753
122,122,0.707
107,107,0.687
126,126,0.663
64,64,0.653
47,47,0.552
90,90,0.54
45,45,0.51
154,154,0.494
165,165,0.491
59,59,0.459
85,85,0.457
56,56,0.45
63,63,0.45
145,145,0.436
52,52,0.428
131,131,0.424
99,99,0.399
142,142,0.399
66,66,0.368
147,147,0.361
26,26,0.337
137,137,0.333
129,129,0.325
162,162,0.306
51,51,0.299
19,19,0.297
101,101,0.289
108,108,0.282
141,141,0.238
97,97,0.228
109,109,0.216
140,140,0.214
160,160,0.209
25,25,0.206
69,69,0.203
42,42,0.203
65,65,0.185
111,111,0.181
159,159,0.178
53,53,0.161
38,38,0.157
119,119,0.154
86,86,0.145
155,155,0.143
57,57,0.125
17,17,0.122
161,161,0.102
92,92,0.097
113,113,0.095
117,117,0.09
78,78,0.082
88,88,0.074
158,158,0.072
149,149,0.07
96,96,0.055
128,128,0.053
133,133,0.032
68,68,0.015
55,55,0.009
58,58,0.009
0,0,0.0
127,127,0.0
143,143,0.0
1,1,0.0
166,166,0.0
35,35,0.0
20,20,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
9,9,0.0
10,10,0.0
31,31,0.0
12,12,0.0
13,13,0.0
14,14,0.0
139,139,-0.001
110,110,-0.01
83,83,-0.013
98,98,-0.017
151,151,-0.094
74,74,-0.109
150,150,-0.133
82,82,-0.139
79,79,-0.141
33,33,-0.155
135,135,-0.164
116,116,-0.169
61,61,-0.177
60,60,-0.177
105,105,-0.181
77,77,-0.185
115,115,-0.185
95,95,-0.209
112,112,-0.232
91,91,-0.239
152,152,-0.274
72,72,-0.281
156,156,-0.284
134,134,-0.313
138,138,-0.318
80,80,-0.329
18,18,-0.341
44,44,-0.341
28,28,-0.362
76,76,-0.408
120,120,-0.412
75,75,-0.423
73,73,-0.431
148,148,-0.446
157,157,-0.447
87,87,-0.463
163,163,-0.477
144,144,-0.479
27,27,-0.498
124,124,-0.502
21,21,-0.506
16,16,-0.508
93,93,-0.517
29,29,-0.52
40,40,-0.541
39,39,-0.541
114,114,-0.552
104,104,-0.562
153,153,-0.568
84,84,-0.594
67,67,-0.614
32,32,-0.679
118,118,-0.689
121,121,-0.716
37,37,-0.787
132,132,-0.804
24,24,-0.82
36,36,-0.823
50,50,-0.897
22,22,-0.989
15,15,-1.0
8,8,-1.104
11,11,-1.104
34,34,-1.182
123,123,-1.226
70,70,-1.393
89,89,-1.456
102,102,-1.521
43,43,-1.542
48,48,-2.031
23,23,-3.0
