,Descriptors,Coeff
1747,1747,0.446
1920,1920,0.413
92,92,0.41
1185,1185,0.404
202,202,0.397
1984,1984,0.381
725,725,0.372
1195,1195,0.363
1955,1955,0.353
1954,1954,0.351
1610,1610,0.35
384,384,0.341
1181,1181,0.338
1756,1756,0.328
242,242,0.324
1199,1199,0.32
1978,1978,0.308
2009,2009,0.306
1583,1583,0.288
1172,1172,0.287
123,123,0.285
34,34,0.28
1235,1235,0.279
76,76,0.276
250,250,0.275
490,490,0.273
1530,1530,0.268
31,31,0.266
2039,2039,0.263
1132,1132,0.262
1631,1631,0.261
117,117,0.258
815,815,0.257
472,472,0.256
198,198,0.253
2000,2000,0.252
1089,1089,0.251
191,191,0.25
875,875,0.248
925,925,0.246
1700,1700,0.246
737,737,0.246
1027,1027,0.245
1379,1379,0.244
1708,1708,0.242
600,600,0.24
864,864,0.24
160,160,0.24
689,689,0.235
1096,1096,0.235
1435,1435,0.233
1734,1734,0.233
1334,1334,0.231
889,889,0.229
267,267,0.226
1504,1504,0.226
896,896,0.226
1033,1033,0.226
786,786,0.222
1087,1087,0.222
102,102,0.221
376,376,0.218
433,433,0.218
650,650,0.216
984,984,0.214
478,478,0.208
1307,1307,0.208
54,54,0.208
558,558,0.208
467,467,0.207
132,132,0.204
573,573,0.204
764,764,0.203
50,50,0.202
1712,1712,0.199
561,561,0.199
598,598,0.197
1436,1436,0.197
133,133,0.196
1352,1352,0.196
965,965,0.193
1851,1851,0.193
1000,1000,0.191
10,10,0.19
855,855,0.19
596,596,0.189
1963,1963,0.189
475,475,0.189
1657,1657,0.188
230,230,0.187
1008,1008,0.187
633,633,0.186
1820,1820,0.186
1155,1155,0.186
1511,1511,0.185
1694,1694,0.184
953,953,0.183
933,933,0.183
11,11,0.182
1664,1664,0.182
700,700,0.182
800,800,0.182
715,715,0.181
1147,1147,0.18
273,273,0.18
1594,1594,0.18
586,586,0.18
582,582,0.18
1817,1817,0.179
1609,1609,0.179
1054,1054,0.179
835,835,0.176
1750,1750,0.176
1152,1152,0.175
1416,1416,0.173
14,14,0.173
46,46,0.173
1907,1907,0.172
1308,1308,0.172
1106,1106,0.172
1894,1894,0.172
1477,1477,0.172
1637,1637,0.171
66,66,0.171
931,931,0.171
723,723,0.171
1299,1299,0.171
1867,1867,0.171
1949,1949,0.17
1025,1025,0.17
648,648,0.17
1138,1138,0.169
590,590,0.169
1272,1272,0.169
530,530,0.169
1624,1624,0.168
1758,1758,0.168
223,223,0.168
377,377,0.168
544,544,0.167
180,180,0.167
521,521,0.166
1391,1391,0.165
348,348,0.164
827,827,0.163
1844,1844,0.163
1309,1309,0.162
326,326,0.162
763,763,0.162
1816,1816,0.161
992,992,0.161
736,736,0.161
851,851,0.16
1779,1779,0.16
1953,1953,0.16
29,29,0.159
958,958,0.158
1107,1107,0.157
97,97,0.156
911,911,0.155
1261,1261,0.154
1713,1713,0.154
1991,1991,0.154
1192,1192,0.154
1854,1854,0.153
1153,1153,0.153
