,Descriptors,Coeff
71,71,1.449
125,125,1.415
106,106,1.249
49,49,1.237
41,41,1.154
146,146,1.096
54,54,1.072
164,164,1.064
46,46,1.056
100,100,1.009
30,30,0.942
94,94,0.882
81,81,0.858
103,103,0.825
136,136,0.795
130,130,0.74
122,122,0.728
64,64,0.721
62,62,0.694
158,158,0.688
126,126,0.612
165,165,0.61
154,154,0.55
107,107,0.55
45,45,0.545
119,119,0.515
145,145,0.496
90,90,0.451
47,47,0.451
159,159,0.449
137,137,0.44
131,131,0.425
38,38,0.418
142,142,0.38
17,17,0.369
19,19,0.358
129,129,0.354
99,99,0.312
26,26,0.304
52,52,0.303
56,56,0.295
141,141,0.295
140,140,0.274
97,97,0.271
63,63,0.266
42,42,0.262
109,109,0.259
59,59,0.24
101,101,0.233
108,108,0.229
65,65,0.214
86,86,0.212
111,111,0.179
66,66,0.178
68,68,0.176
85,85,0.173
155,155,0.169
69,69,0.167
162,162,0.149
160,160,0.145
133,133,0.135
110,110,0.135
88,88,0.094
53,53,0.093
147,147,0.084
92,92,0.076
128,128,0.071
57,57,0.06
149,149,0.046
83,83,0.039
61,61,0.025
60,60,0.025
58,58,0.025
55,55,0.025
51,51,0.025
25,25,0.005
96,96,-0.0
1,1,0.0
0,0,0.0
166,166,0.0
5,5,0.0
13,13,0.0
12,12,0.0
16,16,0.0
10,10,0.0
9,9,0.0
7,7,0.0
20,20,0.0
14,14,0.0
6,6,0.0
35,35,0.0
4,4,0.0
31,31,0.0
3,3,0.0
2,2,0.0
127,127,-0.001
143,143,-0.001
113,113,-0.062
21,21,-0.065
150,150,-0.078
117,117,-0.083
82,82,-0.109
116,116,-0.115
139,139,-0.117
78,78,-0.139
87,87,-0.143
98,98,-0.144
74,74,-0.15
72,72,-0.163
33,33,-0.163
105,105,-0.178
115,115,-0.186
148,148,-0.187
120,120,-0.189
112,112,-0.194
91,91,-0.202
76,76,-0.221
79,79,-0.224
151,151,-0.262
163,163,-0.274
135,135,-0.277
161,161,-0.279
156,156,-0.313
95,95,-0.32
28,28,-0.331
75,75,-0.336
40,40,-0.35
39,39,-0.35
138,138,-0.351
152,152,-0.365
80,80,-0.377
77,77,-0.381
18,18,-0.394
44,44,-0.394
157,157,-0.413
144,144,-0.428
67,67,-0.446
118,118,-0.488
27,27,-0.516
134,134,-0.545
93,93,-0.547
104,104,-0.558
124,124,-0.571
73,73,-0.594
114,114,-0.605
84,84,-0.618
24,24,-0.699
153,153,-0.733
132,132,-0.809
36,36,-0.835
37,37,-0.858
22,22,-0.868
8,8,-0.869
50,50,-0.877
121,121,-0.899
29,29,-0.9
15,15,-1.065
70,70,-1.097
32,32,-1.106
11,11,-1.115
34,34,-1.188
123,123,-1.217
102,102,-1.373
43,43,-1.463
89,89,-1.514
48,48,-2.192
23,23,-3.32
