,Descriptors,Coeff
71,71,1.409
125,125,1.377
49,49,1.295
106,106,1.214
41,41,1.198
146,146,1.032
100,100,0.991
54,54,0.99
30,30,0.99
164,164,0.982
46,46,0.973
103,103,0.877
64,64,0.866
136,136,0.839
94,94,0.809
62,62,0.791
81,81,0.766
122,122,0.63
130,130,0.628
158,158,0.617
137,137,0.602
126,126,0.595
165,165,0.554
154,154,0.539
45,45,0.504
145,145,0.502
107,107,0.478
90,90,0.454
131,131,0.449
47,47,0.439
52,52,0.432
159,159,0.424
19,19,0.399
142,142,0.393
17,17,0.386
38,38,0.384
99,99,0.375
26,26,0.356
42,42,0.322
147,147,0.321
59,59,0.319
119,119,0.318
141,141,0.311
129,129,0.308
63,63,0.305
56,56,0.305
109,109,0.3
140,140,0.29
101,101,0.277
85,85,0.265
162,162,0.263
97,97,0.262
108,108,0.238
86,86,0.219
69,69,0.216
65,65,0.204
53,53,0.172
160,160,0.169
111,111,0.168
110,110,0.155
66,66,0.136
68,68,0.135
83,83,0.123
155,155,0.096
133,133,0.085
78,78,0.023
92,92,0.02
25,25,0.01
61,61,0.006
60,60,0.006
58,58,0.006
51,51,0.006
55,55,0.006
149,149,-0.0
1,1,0.0
0,0,0.0
166,166,0.0
9,9,0.0
10,10,0.0
12,12,0.0
7,7,0.0
6,6,0.0
13,13,0.0
5,5,0.0
14,14,0.0
35,35,0.0
4,4,0.0
16,16,0.0
20,20,0.0
3,3,0.0
31,31,0.0
2,2,0.0
28,28,0.0
143,143,-0.008
127,127,-0.008
33,33,-0.013
128,128,-0.019
113,113,-0.019
117,117,-0.03
150,150,-0.031
88,88,-0.041
96,96,-0.061
57,57,-0.066
116,116,-0.117
82,82,-0.125
98,98,-0.13
72,72,-0.134
74,74,-0.143
112,112,-0.144
139,139,-0.145
87,87,-0.15
91,91,-0.153
115,115,-0.175
120,120,-0.176
21,21,-0.178
148,148,-0.204
161,161,-0.213
79,79,-0.218
151,151,-0.223
135,135,-0.23
95,95,-0.249
105,105,-0.264
156,156,-0.291
152,152,-0.31
76,76,-0.314
67,67,-0.349
163,163,-0.355
77,77,-0.369
75,75,-0.377
157,157,-0.385
44,44,-0.404
18,18,-0.404
80,80,-0.405
138,138,-0.407
39,39,-0.446
40,40,-0.446
27,27,-0.485
144,144,-0.487
134,134,-0.522
104,104,-0.542
93,93,-0.594
118,118,-0.595
114,114,-0.607
124,124,-0.653
73,73,-0.668
84,84,-0.669
24,24,-0.695
153,153,-0.717
29,29,-0.731
36,36,-0.736
132,132,-0.791
37,37,-0.816
22,22,-0.847
50,50,-0.906
8,8,-0.982
11,11,-0.982
15,15,-1.0
32,32,-1.013
70,70,-1.034
121,121,-1.043
34,34,-1.064
123,123,-1.145
102,102,-1.19
43,43,-1.462
89,89,-1.579
48,48,-2.168
23,23,-3.0
