,Descriptors,Coeff
1747,1747,0.476
1954,1954,0.45
202,202,0.441
1984,1984,0.424
1920,1920,0.42
1185,1185,0.418
92,92,0.398
384,384,0.388
725,725,0.37
2009,2009,0.359
1610,1610,0.357
925,925,0.346
1181,1181,0.344
1195,1195,0.329
1955,1955,0.328
1199,1199,0.324
117,117,0.312
1172,1172,0.308
1235,1235,0.3
1756,1756,0.299
490,490,0.296
250,250,0.295
1583,1583,0.294
2039,2039,0.291
1132,1132,0.288
123,123,0.285
242,242,0.284
1631,1631,0.282
889,889,0.275
34,34,0.275
1096,1096,0.273
1089,1089,0.27
433,433,0.269
1734,1734,0.265
815,815,0.264
132,132,0.262
1334,1334,0.262
1530,1530,0.262
1700,1700,0.258
76,76,0.257
864,864,0.256
875,875,0.256
1155,1155,0.255
600,600,0.254
1008,1008,0.244
1033,1033,0.243
180,180,0.241
965,965,0.24
558,558,0.239
598,598,0.238
102,102,0.237
984,984,0.237
467,467,0.237
1708,1708,0.236
1978,1978,0.233
267,267,0.232
1087,1087,0.23
1379,1379,0.23
1352,1352,0.229
1504,1504,0.228
31,31,0.228
1817,1817,0.227
1027,1027,0.226
2000,2000,0.225
230,230,0.224
689,689,0.224
198,198,0.221
1261,1261,0.218
586,586,0.217
478,478,0.217
281,281,0.216
475,475,0.214
1436,1436,0.213
896,896,0.213
786,786,0.212
737,737,0.212
933,933,0.21
700,700,0.21
1416,1416,0.21
160,160,0.207
1152,1152,0.206
273,273,0.206
1025,1025,0.206
1816,1816,0.206
1309,1309,0.205
191,191,0.205
376,376,0.204
11,11,0.203
855,855,0.201
133,133,0.201
992,992,0.199
223,223,0.197
764,764,0.195
377,377,0.195
573,573,0.194
648,648,0.194
1694,1694,0.194
1664,1664,0.193
1307,1307,0.193
50,50,0.192
736,736,0.192
1851,1851,0.192
1106,1106,0.191
1657,1657,0.191
66,66,0.191
457,457,0.191
596,596,0.191
1750,1750,0.19
97,97,0.19
472,472,0.19
1477,1477,0.189
953,953,0.188
315,315,0.186
14,14,0.186
1390,1390,0.185
1511,1511,0.183
1391,1391,0.183
1272,1272,0.183
582,582,0.183
407,407,0.182
1054,1054,0.182
633,633,0.182
715,715,0.18
1000,1000,0.18
561,561,0.18
