,id_model,model name,Data,Libraries,Algorithm,Kernel,class_weight
0,ID1,SVM_p2_F3L6P3SVM3A,80/20,PPI and FDA,SVM,rbf,True
1,ID2,SVM_p2_D11L6P5SVM1A,70/30,PPI and FDA,SVM,linear,True
2,ID3,SVM_p2_F2L6P3SVM4ABN,80/20,PPI and FDA,SVM,sigmoid,False
3,ID4,SVM_p2_F2L6P5SVM4ABN,70/30,PPI and FDA,SVM,sigmoid,False
4,ID5,SVM_p2_F3L6P3SVM1A,80/20,PPI and FDA,SVM,linear,True
5,ID6,SVM_p2_D11L6P5SVM3A,70/30,PPI and FDA,SVM,rbf,True
6,ID7,SVM_p2_F3L6P5SVM4A,70/30,PPI and FDA,SVM,sigmoid,True
7,ID8,SVM_p2_D11L6P3SVM4A,80/20,PPI and FDA,SVM,sigmoid,True
8,ID9,SVM_p2_F3L6P5SVM3A,70/30,PPI and FDA,SVM,rbf,True
9,ID10,SVM_p2_F1L6P5SVM3ABN,70/30,PPI and FDA,SVM,rbf,False
10,ID11,SVM_p2_F2L6P5SVM3ABN,70/30,PPI and FDA,SVM,rbf,False
11,ID12,SVM_p2_D11L6P5SVM4A,70/30,PPI and FDA,SVM,sigmoid,True
12,ID13,SVM_p2_F3L6P3SVM4A,80/20,PPI and FDA,SVM,sigmoid,True
13,ID14,SVM_p2_F3L6P5SVM2A,70/30,PPI and FDA,SVM,poly,True
14,ID15,SVM_p2_F1L6P5SVM1ABN,70/30,PPI and FDA,SVM,linear,False
15,ID16,SVM_p2_F1L6P5SVM2ABN,70/30,PPI and FDA,SVM,poly,False
16,ID17,SVM_p2_D11L6P3SVM1A,80/20,PPI and FDA,SVM,linear,True
17,ID18,SVM_p2_F2L6P5SVM2ABN,70/30,PPI and FDA,SVM,poly,False
18,ID19,SVM_p2_F1L6P3SVM1ABN,80/20,PPI and FDA,SVM,linear,False
19,ID20,SVM_p2_F3L6P5SVM1A,70/30,PPI and FDA,SVM,linear,True
20,ID21,SVM_p2_F2L6P5SVM1ABN,70/30,PPI and FDA,SVM,linear,False
21,ID22,SVM_p2_F1L6P3SVM4ABN,80/20,PPI and FDA,SVM,sigmoid,False
22,ID23,SVM_p2_D11L6P3SVM2A,80/20,PPI and FDA,SVM,poly,True
23,ID24,SVM_p2_F1L6P3SVM2ABN,80/20,PPI and FDA,SVM,poly,False
24,ID25,SVM_p2_F1L6P3SVM3ABN,80/20,PPI and FDA,SVM,rbf,False
25,ID26,SVM_p2_D11L6P3SVM3A,80/20,PPI and FDA,SVM,rbf,True
26,ID27,SVM_p2_D11L6P5SVM2A,70/30,PPI and FDA,SVM,poly,True
27,ID28,SVM_p2_F1L6P5SVM4ABN,70/30,PPI and FDA,SVM,sigmoid,False
28,ID29,SVM_p2_F2L6P3SVM2ABN,80/20,PPI and FDA,SVM,poly,False
29,ID30,SVM_p2_F2L6P3SVM3ABN,80/20,PPI and FDA,SVM,rbf,False
30,ID31,SVM_p2_F3L6P3SVM2A,80/20,PPI and FDA,SVM,poly,True
