,PC 1,PC 2,ipp_id,PPI family
0,-58.23422,-3.8851466,,FDA
1,-56.70443,-5.150959,,FDA
2,-56.840527,-11.307005,,FDA
3,-60.123924,-5.3986115,,FDA
4,-55.255024,-4.834311,,FDA
5,-61.151737,-2.8430781,,FDA
6,-61.62937,0.6332541,,FDA
7,-62.846375,-3.990154,,FDA
8,-54.461166,-4.9578595,,FDA
9,74.58042,2.388068,,FDA
10,-50.768963,-8.645648,,FDA
11,41.194023,31.194307,,FDA
12,-40.2513,-1.5200071,,FDA
13,79.73943,9.072558,,FDA
14,57.13889,-14.7992115,,FDA
15,51.92099,-20.418722,,FDA
16,27.625906,-52.11163,,FDA
17,58.601418,-19.293144,,FDA
18,57.409027,-20.189888,,FDA
19,77.481865,-5.882866,,FDA
20,56.224434,-17.42078,,FDA
21,58.48351,-19.199936,,FDA
22,55.440796,-18.692263,,FDA
23,-41.55059,0.627519,,FDA
24,84.2603,-15.969179,,FDA
25,57.79255,-16.24201,,FDA
26,58.88024,-21.473671,,FDA
27,48.442875,-7.1880407,,FDA
28,87.508644,-33.452248,,FDA
29,91.03836,-29.831844,,FDA
30,57.01805,-17.52169,,FDA
31,84.14124,-12.076205,,FDA
32,-44.490307,1.7809108,,FDA
33,57.001396,-25.723864,,FDA
34,56.36944,-18.212446,,FDA
35,54.61884,-20.93111,,FDA
36,70.34335,-19.287611,,FDA
37,59.5093,-16.985615,,FDA
38,88.41144,-33.059765,,FDA
39,57.315277,-20.931507,,FDA
40,56.50725,-14.326913,,FDA
41,41.7709,31.777588,,FDA
42,57.44409,-16.391905,,FDA
43,-7.0890803,-29.992271,,FDA
44,89.53535,-32.637783,,FDA
45,56.198837,-19.58797,,FDA
46,56.418278,-12.8022,,FDA
47,-41.823837,0.7542616,,FDA
48,-45.918533,-5.186669,,FDA
49,84.259155,-15.968888,,FDA
50,56.367844,-13.2222805,,FDA
51,56.21788,-13.312876,,FDA
52,89.1238,-25.164766,,FDA
53,80.5612,-29.722721,,FDA
54,65.36963,-8.017506,,FDA
55,85.28903,-14.468084,,FDA
56,56.42449,-14.045994,,FDA
57,89.40941,-32.60002,,FDA
58,65.774734,8.798847,,FDA
59,59.12175,-19.534554,,FDA
60,24.701399,17.6526,,FDA
61,55.243073,-17.796133,,FDA
62,78.93188,-43.38323,,FDA
63,32.640873,-35.129997,,FDA
64,-6.7526183,-4.7847047,,FDA
65,-61.98861,-19.760084,,FDA
66,61.71959,0.6966509,,FDA
67,76.86061,-52.58836,,FDA
68,61.24879,-17.377829,,FDA
69,32.64596,-30.392523,,FDA
70,-56.629852,-11.441326,,FDA
71,13.439162,-37.89714,,FDA
72,9.839613,-52.58578,,FDA
73,-11.154416,36.62678,,FDA
74,41.421772,-14.15201,,FDA
75,38.595146,33.324924,,FDA
76,78.974,21.131327,,FDA
77,46.767212,-6.7566657,,FDA
78,33.32155,-30.703243,,FDA
79,26.971994,-37.785435,,FDA
80,13.937642,-63.23708,,FDA
81,-39.138214,-0.22820328,,FDA
82,41.192513,-15.175225,,FDA
83,7.8020377,20.99545,,FDA
84,40.433163,-10.544837,,FDA
85,57.582233,-44.474632,,FDA
86,-50.768852,-8.642963,,FDA
87,0.2756177,14.649151,,FDA
88,28.62171,-53.725517,,FDA
89,-41.83781,68.20515,,FDA
90,-39.612602,79.30455,,FDA
91,26.259865,19.278198,,FDA
92,-14.195106,-46.235516,,FDA
93,57.614147,-44.22916,,FDA
94,5.2556987,-42.680946,,FDA
95,-0.33863777,-59.097782,,FDA
96,63.641617,7.651253,,FDA
97,42.75645,-8.81741,,FDA
98,-15.68361,62.889164,,FDA
99,-15.496629,81.54014,,FDA
100,15.121191,-50.08665,,FDA
101,-44.567013,73.9645,,FDA
102,32.840008,12.58597,,FDA
103,-25.234837,-11.153198,,FDA
104,14.615531,-59.194065,,FDA
105,-56.299976,-15.389049,,FDA
106,47.804924,-9.1293125,,FDA
107,-37.813393,72.13755,,FDA
108,82.89066,-52.077705,,FDA
109,-55.952347,-15.173859,,FDA
110,33.756912,-19.395998,,FDA
111,78.07854,-43.365124,,FDA
