,Descriptors,Coeff
108,108,0.65
119,119,0.51
129,129,0.47
165,165,0.44
92,92,0.43
5,5,0.39
117,117,0.36
43,43,0.35
162,162,0.32
148,148,0.32
121,121,0.3
27,27,0.28
62,62,0.28
99,99,0.26
36,36,0.26
18,18,0.25
10,10,0.24
33,33,0.24
122,122,0.22
29,29,0.21
83,83,0.21
11,11,0.21
114,114,0.2
156,156,0.2
116,116,0.2
34,34,0.18
90,90,0.18
93,93,0.15
142,142,0.15
78,78,0.15
50,50,0.13
2,2,0.13
111,111,0.13
106,106,0.13
56,56,0.12
100,100,0.12
95,95,0.12
97,97,0.11
155,155,0.11
133,133,0.11
88,88,0.11
49,49,0.1
4,4,0.1
38,38,0.1
13,13,0.09
154,154,0.09
25,25,0.09
22,22,0.09
107,107,0.09
54,54,0.09
163,163,0.08
132,132,0.08
103,103,0.08
24,24,0.08
143,143,0.08
160,160,0.07
76,76,0.07
94,94,0.06
102,102,0.06
77,77,0.06
72,72,0.05
74,74,0.05
7,7,0.05
86,86,0.05
3,3,0.05
17,17,0.05
1,1,0.05
45,45,0.04
96,96,0.04
131,131,0.04
31,31,0.04
58,58,0.04
141,141,0.04
57,57,0.03
53,53,0.03
69,69,0.03
73,73,0.03
91,91,0.02
39,39,0.02
149,149,0.02
21,21,0.02
166,166,0.01
42,42,0.01
159,159,-0.0
70,70,-0.0
20,20,-0.01
63,63,-0.01
66,66,-0.01
60,60,-0.02
8,8,-0.02
40,40,-0.02
79,79,-0.02
67,67,-0.03
113,113,-0.03
55,55,-0.04
145,145,-0.04
61,61,-0.04
26,26,-0.04
30,30,-0.04
138,138,-0.05
152,152,-0.05
35,35,-0.05
128,128,-0.05
48,48,-0.06
14,14,-0.06
104,104,-0.06
115,115,-0.06
37,37,-0.06
157,157,-0.06
144,144,-0.07
135,135,-0.07
64,64,-0.07
9,9,-0.07
46,46,-0.07
120,120,-0.08
146,146,-0.08
47,47,-0.09
112,112,-0.09
23,23,-0.09
161,161,-0.09
139,139,-0.1
28,28,-0.1
158,158,-0.1
52,52,-0.11
126,126,-0.11
127,127,-0.11
65,65,-0.11
140,140,-0.11
59,59,-0.12
125,125,-0.13
80,80,-0.13
15,15,-0.13
19,19,-0.14
105,105,-0.15
87,87,-0.15
110,110,-0.16
164,164,-0.16
82,82,-0.17
124,124,-0.17
41,41,-0.17
85,85,-0.18
84,84,-0.19
98,98,-0.2
6,6,-0.2
16,16,-0.2
44,44,-0.2
81,81,-0.2
123,123,-0.21
71,71,-0.21
150,150,-0.23
32,32,-0.23
101,101,-0.23
68,68,-0.23
109,109,-0.25
89,89,-0.25
136,136,-0.28
118,118,-0.29
134,134,-0.3
147,147,-0.37
151,151,-0.38
130,130,-0.39
137,137,-0.41
12,12,-0.42
75,75,-0.43
0,0,-0.46
51,51,-0.47
153,153,-0.59
