,Descriptors,Coeff
125,125,1.09
55,55,0.88
58,58,0.79
83,83,0.77
165,165,0.75
81,81,0.74
103,103,0.71
162,162,0.65
119,119,0.64
101,101,0.56
122,122,0.52
26,26,0.51
106,106,0.5
92,92,0.5
62,62,0.48
146,146,0.46
107,107,0.45
100,100,0.44
136,136,0.42
117,117,0.39
121,121,0.38
51,51,0.37
85,85,0.34
71,71,0.33
46,46,0.31
150,150,0.3
90,90,0.3
157,157,0.29
155,155,0.28
131,131,0.25
42,42,0.24
45,45,0.24
159,159,0.23
29,29,0.23
66,66,0.23
74,74,0.22
133,133,0.2
145,145,0.2
140,140,0.19
64,64,0.19
120,120,0.18
52,52,0.18
57,57,0.18
156,156,0.17
128,128,0.16
142,142,0.15
94,94,0.15
60,60,0.14
164,164,0.13
47,47,0.13
127,127,0.12
27,27,0.12
143,143,0.12
97,97,0.11
154,154,0.11
39,39,0.1
40,40,0.1
17,17,0.1
56,56,0.09
54,54,0.09
69,69,0.07
10,10,0.07
75,75,0.06
68,68,0.06
41,41,0.06
63,63,0.06
31,31,0.06
108,108,0.05
38,38,0.05
126,126,0.05
3,3,0.05
12,12,0.04
6,6,0.03
118,118,0.02
135,135,0.02
13,13,0.02
79,79,0.02
5,5,0.01
80,80,0.01
1,1,0.0
91,91,-0.0
158,158,-0.0
0,0,0.0
2,2,0.0
4,4,0.0
111,111,-0.01
151,151,-0.01
7,7,-0.01
160,160,-0.01
113,113,-0.01
35,35,-0.02
147,147,-0.02
93,93,-0.03
14,14,-0.03
141,141,-0.04
98,98,-0.04
109,109,-0.05
138,138,-0.05
30,30,-0.08
44,44,-0.08
82,82,-0.08
70,70,-0.08
86,86,-0.09
149,149,-0.1
115,115,-0.1
34,34,-0.11
18,18,-0.11
53,53,-0.11
20,20,-0.12
59,59,-0.13
32,32,-0.13
72,72,-0.14
9,9,-0.15
15,15,-0.15
99,99,-0.15
95,95,-0.15
65,65,-0.17
104,104,-0.18
22,22,-0.18
130,130,-0.18
21,21,-0.2
11,11,-0.2
112,112,-0.2
96,96,-0.21
153,153,-0.21
8,8,-0.21
50,50,-0.21
114,114,-0.22
25,25,-0.23
16,16,-0.23
76,76,-0.23
49,49,-0.24
139,139,-0.24
129,129,-0.24
88,88,-0.25
28,28,-0.28
37,37,-0.29
78,78,-0.29
84,84,-0.29
163,163,-0.3
19,19,-0.3
152,152,-0.3
161,161,-0.31
87,87,-0.32
124,124,-0.33
43,43,-0.34
24,24,-0.35
116,116,-0.35
144,144,-0.39
36,36,-0.41
77,77,-0.41
61,61,-0.43
33,33,-0.46
137,137,-0.47
23,23,-0.48
73,73,-0.49
132,132,-0.5
134,134,-0.52
105,105,-0.53
67,67,-0.67
123,123,-0.71
102,102,-0.72
110,110,-0.74
148,148,-0.81
89,89,-0.86
48,48,-0.94
166,166,-0.99
