,id_model,Precision,Balanced accuracy,F1,Recall
0,RF19,0.98,0.95,0.95,0.92
1,RF17,0.98,0.96,0.95,0.93
2,RF3  ,0.98,0.95,0.95,0.92
3,RF18,0.98,0.95,0.95,0.92
4,RF2  ,0.97,0.95,0.95,0.93
5,RF24,0.97,0.95,0.95,0.93
6,RF23,0.97,0.95,0.95,0.93
7,RF22,0.97,0.95,0.95,0.93
8,RF21,0.97,0.95,0.95,0.93
9,RF20,0.97,0.95,0.95,0.93
10,RF1  ,0.97,0.96,0.95,0.94
11,RF8  ,0.97,0.95,0.95,0.94
12,RF5  ,0.97,0.96,0.95,0.94
13,RF7  ,0.97,0.96,0.95,0.94
14,RF31,0.96,0.95,0.94,0.93
15,RF27,0.96,0.95,0.94,0.93
16,RF26,0.96,0.95,0.95,0.93
17,RF13,0.96,0.95,0.95,0.95
18,RF6  ,0.96,0.95,0.95,0.94
19,RF25,0.96,0.95,0.95,0.93
20,RF9  ,0.96,0.95,0.95,0.94
21,RF4  ,0.96,0.95,0.95,0.94
22,RF10,0.96,0.95,0.95,0.94
23,RF11,0.96,0.95,0.95,0.94
24,RF16,0.96,0.95,0.95,0.94
25,RF15,0.96,0.95,0.95,0.94
26,RF14,0.96,0.95,0.95,0.94
27,RF29,0.96,0.95,0.95,0.93
28,RF32,0.95,0.94,0.94,0.93
29,RF12,0.95,0.95,0.95,0.95
30,RF30,0.95,0.94,0.94,0.93
31,RF28,0.95,0.95,0.94,0.93
32,RF39,0.93,0.94,0.94,0.94
33,RF60,0.93,0.94,0.93,0.93
34,RF52,0.93,0.94,0.93,0.94
35,RF41,0.93,0.94,0.93,0.94
36,RF40,0.93,0.94,0.94,0.94
37,RF33,0.93,0.94,0.94,0.94
38,RF38,0.93,0.94,0.93,0.94
39,RF37,0.93,0.94,0.94,0.94
40,RF34,0.93,0.94,0.93,0.94
41,RF35,0.93,0.94,0.94,0.94
42,RF54,0.92,0.93,0.93,0.94
43,RF62,0.92,0.93,0.93,0.94
44,RF58,0.92,0.93,0.93,0.94
45,RF57,0.92,0.93,0.93,0.94
46,RF56,0.92,0.93,0.93,0.94
47,RF55,0.92,0.94,0.93,0.94
48,RF61,0.92,0.93,0.93,0.94
49,RF53,0.92,0.93,0.93,0.94
50,RF63,0.92,0.93,0.93,0.94
51,RF36,0.92,0.94,0.93,0.94
52,RF64,0.92,0.93,0.93,0.94
53,RF49,0.92,0.94,0.94,0.96
54,RF48,0.92,0.94,0.94,0.95
55,RF47,0.92,0.94,0.94,0.96
56,RF46,0.92,0.94,0.93,0.95
57,RF45,0.92,0.94,0.94,0.95
58,RF59,0.92,0.93,0.93,0.94
59,RF43,0.91,0.93,0.93,0.95
60,RF44,0.91,0.93,0.93,0.94
61,RF42,0.91,0.93,0.93,0.95
62,RF51,0.91,0.93,0.92,0.94
63,RF50,0.91,0.93,0.93,0.94
64,RF65,0.91,0.93,0.93,0.94
