,id_model,Precision,Balanced accuracy,F1,Recall
0,SVM18,0.986737400530504,0.92,0.92,0.859122401847575
1,SVM19,0.9867021276595744,0.92,0.92,0.8568129330254042
2,SVM3  ,0.9846153846153847,0.94,0.93,0.8868360277136259
3,SVM4  ,0.9846153846153847,0.94,0.93,0.8868360277136259
4,SVM11,0.9797297297297297,0.94,0.93,0.888208269525268
5,SVM12,0.9796610169491525,0.93,0.93,0.885145482388974
6,SVM21,0.9779951100244498,0.95,0.95,0.9237875288683602
7,SVM26,0.9758203799654577,0.92,0.92,0.8652373660030628
8,SVM27,0.9757785467128027,0.92,0.92,0.8637059724349158
9,SVM20,0.975609756097561,0.95,0.95,0.9237875288683602
10,SVM6  ,0.9732360097323601,0.95,0.95,0.9237875288683602
11,SVM5  ,0.9710144927536232,0.95,0.95,0.9284064665127021
12,SVM29,0.9650238473767886,0.95,0.95,0.9295558958652373
13,SVM28,0.9650238473767886,0.95,0.95,0.9295558958652373
14,SVM13,0.9637223974763407,0.95,0.95,0.9356814701378254
15,SVM14,0.9636650868878357,0.95,0.95,0.9341500765696784
16,SVM35,0.9369158878504673,0.94,0.93,0.9260969976905312
17,SVM34,0.9350348027842227,0.94,0.93,0.930715935334873
18,SVM43,0.9312977099236641,0.94,0.93,0.9341500765696784
19,SVM2  ,0.93,0.94,0.93,0.9376443418013857
20,SVM1  ,0.93,0.94,0.93,0.9330254041570438
21,SVM9  ,0.93,0.94,0.94,0.9418070444104135
22,SVM17,0.93,0.93,0.93,0.9260969976905312
23,SVM10,0.93,0.94,0.94,0.9418070444104135
24,SVM42,0.9298780487804879,0.94,0.93,0.9341500765696784
25,SVM25,0.92,0.93,0.93,0.9418070444104135
26,SVM23,0.9118329466357309,0.92,0.91,0.9076212471131639
27,SVM24,0.91,0.93,0.93,0.9448698315467075
28,SVM49,0.91,0.92,0.92,0.9260969976905312
29,SVM48,0.91,0.93,0.92,0.930715935334873
30,SVM22,0.908256880733945,0.92,0.91,0.9145496535796767
31,SVM50,0.9082278481012658,0.8,0.77,0.6628175519630485
32,SVM59,0.9081632653061225,0.81,0.78,0.6814701378254211
33,SVM51,0.9076433121019108,0.8,0.76,0.6581986143187067
34,SVM37,0.9072398190045249,0.92,0.92,0.9260969976905312
35,SVM58,0.9068825910931174,0.81,0.78,0.6860643185298622
36,SVM36,0.905829596412556,0.92,0.92,0.9330254041570438
37,SVM53,0.9048780487804878,0.89,0.88,0.8568129330254042
38,SVM45,0.8998527245949927,0.92,0.92,0.9356814701378254
39,SVM52,0.8990384615384616,0.89,0.88,0.8637413394919169
40,SVM44,0.8986784140969163,0.92,0.92,0.9372128637059725
41,SVM31,0.8984848484848484,0.91,0.9,0.9081163859111792
42,SVM30,0.8977443609022556,0.91,0.91,0.9142419601837672
43,SVM16,0.8968133535660091,0.91,0.9,0.9050535987748851
44,SVM61,0.8958990536277602,0.89,0.88,0.8698315467075038
45,SVM60,0.8946540880503144,0.89,0.88,0.8713629402756509
46,SVM8  ,0.8924485125858124,0.9,0.9,0.9006928406466512
47,SVM7  ,0.8924485125858124,0.9,0.9,0.9006928406466512
48,SVM15,0.8922155688622755,0.91,0.9,0.9127105666156202
49,SVM56,0.89,0.91,0.91,0.9280245022970903
50,SVM57,0.89,0.91,0.91,0.9280245022970903
51,SVM32,0.85,0.88,0.87,0.8845265588914549
52,SVM41,0.85,0.88,0.87,0.891271056661562
53,SVM40,0.85,0.88,0.87,0.8989280245022971
54,SVM33,0.85,0.87,0.86,0.8706697459584296
55,SVM62,0.8057324840764332,0.8,0.79,0.774885145482389
56,SVM63,0.8054226475279107,0.8,0.79,0.7733537519142419
57,SVM55,0.795,0.78,0.76,0.7344110854503464
58,SVM54,0.7902439024390244,0.79,0.77,0.7482678983833718
59,SVM47,0.6071987480438185,0.63,0.6,0.5941807044410413
60,SVM46,0.5990853658536586,0.62,0.6,0.6018376722817764
61,SVM39,0.5980629539951574,0.62,0.58,0.5704387990762124
62,SVM38,0.5947867298578199,0.62,0.59,0.5796766743648961
