,PC 1,PC 2,ipp_id,PPI family
0,-21.318579,46.93848,,FDA
1,-27.182432,47.1621,,FDA
2,-47.657383,34.296005,,FDA
3,-28.436234,41.1212,,FDA
4,-25.83701,50.31931,,FDA
5,-49.650723,33.29796,,FDA
6,5.255367,-1.4769185,,FDA
7,-40.447906,33.754055,,FDA
8,-25.841654,50.381733,,FDA
9,13.534071,-9.132418,,FDA
10,-42.851997,-10.703948,,FDA
11,-4.9038787,32.45871,,FDA
12,-42.30035,-16.9713,,FDA
13,1.9200007,12.37649,,FDA
14,-25.882479,31.615572,,FDA
15,-7.1266885,20.985615,,FDA
16,-32.811237,-6.9488416,,FDA
17,-4.90957,36.382553,,FDA
18,-7.5147047,36.342007,,FDA
19,40.944645,-16.313044,,FDA
20,-3.5184863,32.272297,,FDA
21,-4.940671,36.262707,,FDA
22,-5.0202847,34.15729,,FDA
23,-43.02273,-16.48289,,FDA
24,-7.9586487,24.98772,,FDA
25,-4.17581,32.92031,,FDA
26,-2.284595,36.052914,,FDA
27,-25.10353,33.105648,,FDA
28,-36.76562,-44.921844,,FDA
29,-46.46363,-31.246748,,FDA
30,-3.287299,33.153484,,FDA
31,-4.379095,19.241814,,FDA
32,-40.08792,-14.486912,,FDA
33,22.941973,21.25317,,FDA
34,-4.9971,34.077896,,FDA
35,0.0909458,34.83578,,FDA
36,-8.592563,27.67791,,FDA
37,-2.1444728,19.90137,,FDA
38,-37.291943,-44.67826,,FDA
39,-8.135927,7.939665,,FDA
40,-2.2328727,31.640287,,FDA
41,-46.167946,35.18372,,FDA
42,-4.2630405,32.169056,,FDA
43,-9.250397,1.024639,,FDA
44,-36.207756,-43.580814,,FDA
45,-7.2306814,36.339684,,FDA
46,-0.8332709,27.81474,,FDA
47,-42.636955,-16.094177,,FDA
48,-9.5201,31.992666,,FDA
49,-7.522219,25.705635,,FDA
50,-0.19138096,28.050001,,FDA
51,-0.70184976,27.924097,,FDA
52,-48.304996,-30.89575,,FDA
53,-39.083263,6.435574,,FDA
54,-0.47295532,-4.0596724,,FDA
55,-6.572944,20.143135,,FDA
56,-1.2939137,27.924713,,FDA
57,-37.26376,-44.632324,,FDA
58,-6.136629,-6.3190126,,FDA
59,-5.2550244,0.49618378,,FDA
60,-9.766095,-21.135975,,FDA
61,-3.5596476,32.073616,,FDA
62,9.991663,25.442366,,FDA
63,-12.523003,-3.5680127,,FDA
64,-39.250294,20.662388,,FDA
65,-19.42452,38.8913,,FDA
66,-35.486122,25.641495,,FDA
67,-66.60646,-2.2044778,,FDA
68,-2.1936724,20.615667,,FDA
69,-26.966898,30.403118,,FDA
70,-47.547367,39.963417,,FDA
71,-15.9810915,-9.73246,,FDA
72,-5.8214817,-12.434138,,FDA
73,6.588348,-55.860497,,FDA
74,-25.264393,14.495403,,FDA
75,-28.659306,29.06194,,FDA
76,-0.9432554,-5.898584,,FDA
77,-37.94793,27.643963,,FDA
78,-29.546452,23.575502,,FDA
79,-4.690614,3.4782634,,FDA
80,2.2203238,-8.588998,,FDA
81,-42.734596,-17.416145,,FDA
82,-26.30104,14.245847,,FDA
83,-16.972689,-32.42498,,FDA
84,-3.9232225,11.483988,,FDA
85,-23.773046,-37.45705,,FDA
86,-42.85222,-10.706574,,FDA
87,-23.08222,-22.562315,,FDA
88,-10.019329,13.025578,,FDA
89,6.866642,-46.563816,,FDA
90,-4.201455,-9.726943,,FDA
91,3.9253602,-18.667507,,FDA
92,11.127315,-5.060673,,FDA
93,-23.72295,-37.59232,,FDA
94,-0.3664169,-20.055395,,FDA
95,-34.76352,14.270008,,FDA
96,6.844687,6.4644594,,FDA
97,8.378001,-2.7742198,,FDA
98,-23.942902,-29.498592,,FDA
99,135.55379,63.14116,,FDA
100,-13.902394,-23.683672,,FDA
101,-11.305337,-44.591763,,FDA
102,-26.324295,24.586838,,FDA
103,28.07032,7.9777837,,FDA
104,-36.179146,16.542856,,FDA
105,-21.883286,29.987534,,FDA
106,-47.23708,12.160218,,FDA
107,-0.6565849,-41.78211,,FDA
108,-71.13855,-7.8868713,,FDA
109,-26.86336,30.944017,,FDA
110,-3.4804645,0.48288468,,FDA
111,10.306673,25.565952,,FDA
112,0.87610126,-18.641779,,FDA
113,18.206797,43.106503,,FDA
114,-1.6808462,21.818369,,FDA
115,4.511177,-56.979656,,FDA
116,-5.00071,-34.402317,,FDA
117,22.09001,-2.2603948,,FDA
118,-21.340609,-24.676296,,FDA
119,-18.93067,-9.642446,,FDA
120,12.498525,-13.042953,,FDA
121,-29.542599,-41.34612,,FDA
122,-12.270267,-10.56846,,FDA
123,8.684185,-27.93699,,FDA
124,-74.27043,-4.577163,,FDA
125,-26.314045,-41.35388,,FDA
126,-43.754555,-20.159065,,FDA
127,-20.194672,13.041258,,FDA
128,22.067616,-2.472295,,FDA
129,-30.040186,6.016218,,FDA
130,-7.6450357,-24.354456,,FDA
131,23.43564,30.899006,,FDA
132,2.684069,-6.8760242,,FDA
133,-43.441456,-24.189108,,FDA
134,-3.182927,-44.686634,,FDA
135,16.433336,-27.34375,,FDA
136,-26.327158,-4.4370756,,FDA
137,-50.96152,-3.286796,,FDA
138,32.883667,5.031989,,FDA
139,6.3567066,-11.966945,,FDA
140,34.74684,6.485465,,FDA
141,-18.372602,1.9067205,,FDA
142,6.364365,12.800576,,FDA
143,-3.350829,-44.326824,,FDA
144,-16.388079,-16.010422,,FDA
145,-4.3643136,-8.858106,,FDA
146,8.145975,-5.677895,,FDA
147,-4.253666,-47.12586,,FDA
148,-25.483688,14.488951,,FDA
149,7.6686263,1.3378036,,FDA
150,-18.191002,15.083938,,FDA
151,19.097654,40.31227,,FDA
152,-55.41862,-127.694084,,FDA
153,27.721619,15.871102,,FDA
154,15.145244,15.852396,,FDA
155,-13.442268,-4.79104,,FDA
156,-3.4109862,-8.537719,,FDA
157,13.42213,37.074417,,FDA
158,9.368148,1.4185094,,FDA
159,-0.45791313,-35.9859,,FDA
160,-20.397663,-21.7756,,FDA
161,-8.059532,37.157814,,FDA
162,-10.863366,43.116825,,FDA
163,-27.640072,10.904217,,FDA
164,1.8789377,29.243784,,FDA
165,18.532547,-11.736085,,FDA
166,7.9264994,-21.139637,,FDA
167,24.75382,23.394516,,FDA
168,-21.33229,-17.391918,,FDA
169,11.236239,32.4497,,FDA
170,-73.732864,-7.1226377,,FDA
171,-28.214058,3.2629979,,FDA
172,-3.758282,30.920942,,FDA
173,-21.275005,27.124096,,FDA
174,-13.46152,30.051933,,FDA
175,-7.488317,30.198727,,FDA
176,-47.38975,-12.688422,,FDA
177,-36.21657,-35.96685,,FDA
178,40.29883,8.50611,,FDA
179,40.297405,8.50504,,FDA
180,-5.35271,-12.145393,,FDA
181,-11.963302,2.39893,,FDA
182,-10.857446,17.219063,,FDA
183,10.382018,54.905937,,FDA
184,-1.9363989,19.72716,,FDA
185,16.650671,27.651096,,FDA
186,-47.29662,-12.805278,,FDA
187,-6.3066454,9.945558,,FDA
188,-28.890772,-42.697193,,FDA
189,12.104656,3.3848858,,FDA
190,-47.87532,7.4635425,,FDA
191,26.493763,-9.229359,,FDA
192,-0.51791996,-38.30925,,FDA
193,-29.711884,-41.49889,,FDA
194,4.0733857,18.195248,,FDA
195,-41.327953,24.185682,,FDA
196,-12.575285,-44.308304,,FDA
197,5.0164676,6.988198,,FDA
198,2.626481,-27.087534,,FDA
199,-36.254818,-35.990112,,FDA
200,8.876949,51.815437,,FDA
201,25.861183,33.544098,,FDA
202,-20.579582,-42.053883,,FDA
203,-43.444977,-24.202013,,FDA
204,15.869489,-17.54348,,FDA
205,-71.76044,-7.999758,,FDA
206,-4.54075,-4.956189,,FDA
207,19.380838,24.205675,,FDA
208,-38.124554,-34.449352,,FDA
209,27.039225,-2.7984865,,FDA
210,0.13850753,-1.8649487,,FDA
211,-10.661338,6.343189,,FDA
212,1.0323843,41.987053,,FDA
213,-26.72905,9.799696,,FDA
214,-13.37341,-36.784126,,FDA
215,-25.056515,14.526645,,FDA
216,-2.381047,6.4176555,,FDA
217,0.12539577,-28.224722,,FDA
218,-23.793568,-29.324818,,FDA
219,-11.043141,9.807607,,FDA
220,-26.292137,-48.10807,,FDA
221,-38.35597,-11.073791,,FDA
222,-54.245655,-26.94202,,FDA
223,-27.352352,-50.10025,,FDA
224,-15.077438,-8.641046,,FDA
225,13.818399,3.6537685,,FDA
226,32.843967,-14.808626,,FDA
227,-2.621257,-22.287222,,FDA
228,16.60476,-16.702974,,FDA
229,-21.324354,3.687661,,FDA
230,-6.3030467,-16.428524,,FDA
231,-50.559563,1.076974,,FDA
232,-15.525428,-22.05437,,FDA
233,23.430807,31.305761,,FDA
234,-37.581173,-10.01109,,FDA
235,0.82701176,-42.304005,,FDA
236,-2.2067769,-12.367008,,FDA
237,-27.689278,-7.3015323,,FDA
238,3.985517,-3.298773,,FDA
239,-5.3770013,-48.197575,,FDA
240,3.265372,-1.6201614,,FDA
241,26.834312,-8.650201,,FDA
242,-16.480995,26.285486,,FDA
243,-13.415157,-36.71019,,FDA
244,-0.20544414,-32.51618,,FDA
245,25.940805,7.8108964,,FDA
246,-26.58039,6.7690015,,FDA
247,-48.316944,-11.523587,,FDA
248,-45.43056,10.009555,,FDA
249,14.799964,-6.1839623,,FDA
250,-17.409527,-20.080221,,FDA
251,-8.645612,10.870093,,FDA
252,-27.23534,-53.707226,,FDA
253,5.7443266,0.7652774,,FDA
254,-0.19138132,16.376072,,FDA
255,-56.15638,-31.545073,,FDA
256,-16.503922,-12.999667,,FDA
257,-48.83388,-2.286706,,FDA
258,-25.970419,28.87327,,FDA
