,PC 1,PC 2,ipp_id,PPI family
0,8.483775,48.905388,,FDA
1,12.307955,49.026157,,FDA
2,21.15134,40.032864,,FDA
3,8.549827,42.206013,,FDA
4,11.175913,52.00919,,FDA
5,20.602795,41.655212,,FDA
6,-18.465288,-7.699277,,FDA
7,16.071424,39.60953,,FDA
8,11.193281,52.06579,,FDA
9,-8.664636,0.15039492,,FDA
10,-43.142834,-14.847133,,FDA
11,4.887354,37.74615,,FDA
12,-37.833344,-14.219168,,FDA
13,-14.701207,11.038305,,FDA
14,9.089018,26.612497,,FDA
15,-14.529799,22.607151,,FDA
16,-28.793425,9.735321,,FDA
17,0.4207796,34.15363,,FDA
18,-0.22253883,36.40817,,FDA
19,-40.898746,-4.5378876,,FDA
20,2.189188,32.52098,,FDA
21,0.51704395,34.17955,,FDA
22,3.0486102,33.61963,,FDA
23,-37.803875,-13.745362,,FDA
24,-18.590168,26.15769,,FDA
25,2.6876576,32.19041,,FDA
26,2.0488498,35.06097,,FDA
27,9.291555,27.147053,,FDA
28,-14.912784,-50.61435,,FDA
29,-41.732193,-32.33931,,FDA
30,1.5259664,32.572163,,FDA
31,-12.230793,20.387358,,FDA
32,-38.498188,-10.673385,,FDA
33,18.852007,9.419198,,FDA
34,3.2536612,33.607346,,FDA
35,4.3001795,35.418667,,FDA
36,-22.15383,27.152302,,FDA
37,-13.118866,18.957779,,FDA
38,-15.050459,-50.60282,,FDA
39,-18.202736,19.176292,,FDA
40,1.2776692,31.540022,,FDA
41,19.72397,38.97327,,FDA
42,2.4436836,31.745443,,FDA
43,-22.070011,-19.785936,,FDA
44,-13.863949,-49.903946,,FDA
45,-0.0762488,36.07328,,FDA
46,-1.5133406,30.008986,,FDA
47,-37.956715,-13.370097,,FDA
48,8.2632265,35.510597,,FDA
49,-18.89356,26.183233,,FDA
50,-1.3184886,29.60982,,FDA
51,-1.3918483,29.983862,,FDA
52,-42.59831,-31.248816,,FDA
53,26.663599,-3.224726,,FDA
54,-8.523007,-0.19569224,,FDA
55,-14.216906,23.241901,,FDA
56,-1.3723453,30.317268,,FDA
57,-15.018541,-50.56925,,FDA
58,1.8664759,-9.879656,,FDA
59,-13.845109,-3.4178717,,FDA
60,-11.677046,-18.330055,,FDA
61,2.2853994,32.63713,,FDA
62,9.628595,12.75283,,FDA
63,-4.932206,-6.0967164,,FDA
64,3.6714714,21.600058,,FDA
65,1.5093701,42.281387,,FDA
66,16.157942,23.391363,,FDA
67,-68.31878,6.729445,,FDA
68,16.252077,3.570459,,FDA
69,9.140901,22.803131,,FDA
70,19.20141,45.78359,,FDA
71,-2.1391056,-16.700417,,FDA
72,-8.006203,-7.547085,,FDA
73,14.988142,-37.73764,,FDA
74,29.026554,12.398262,,FDA
75,11.813331,23.083372,,FDA
76,-7.8119807,-3.984935,,FDA
77,16.72462,26.213217,,FDA
78,7.36215,17.690659,,FDA
79,-9.285767,4.1088114,,FDA
80,10.157412,-6.9776516,,FDA
81,-37.591465,-14.65657,,FDA
82,28.960167,13.346145,,FDA
83,6.835323,-35.028652,,FDA
84,-12.040984,8.552908,,FDA
85,-25.080961,-20.608253,,FDA
86,-43.138645,-14.846586,,FDA
87,-18.95302,-22.28941,,FDA
88,-27.668991,12.1968155,,FDA
89,-21.821676,-32.5215,,FDA
90,-6.8222165,4.498011,,FDA
91,9.123071,-22.27755,,FDA
92,-37.715553,27.360748,,FDA
93,-25.030384,-20.743164,,FDA
94,5.0151014,-18.947006,,FDA
95,-36.358818,22.198362,,FDA
96,1.5160261,7.4276423,,FDA
97,15.346593,14.131556,,FDA
98,-10.75378,-34.17693,,FDA
99,0.0105552245,4.7639136,,FDA
100,-7.5321035,-25.049524,,FDA
101,-18.616693,-31.837,,FDA
102,6.005553,16.298817,,FDA
103,-43.12335,12.62582,,FDA
104,-36.44196,20.031946,,FDA
105,14.465442,28.47558,,FDA
106,18.380741,17.869184,,FDA
107,-26.790987,-37.584404,,FDA
108,-72.145294,4.8884034,,FDA
109,6.598879,21.876478,,FDA
110,-11.567906,-1.7956842,,FDA
111,9.60405,12.716408,,FDA
112,4.800341,-10.751899,,FDA
113,-37.87654,36.44594,,FDA
114,0.7082767,30.33452,,FDA
115,14.304957,-38.97258,,FDA
116,-17.672733,-41.621426,,FDA
117,-6.60525,8.781813,,FDA
118,2.6012673,-18.153461,,FDA
119,-7.2459817,-19.279518,,FDA
120,-10.471087,21.170847,,FDA
121,-5.4441175,-32.306904,,FDA
122,-5.076946,-19.465248,,FDA
123,12.464558,-32.21061,,FDA
124,-68.594055,3.44358,,FDA
125,-7.4603367,-32.154457,,FDA
126,-38.457764,-16.699087,,FDA
127,26.563286,7.194565,,FDA
128,-6.579387,8.549505,,FDA
129,-7.2244015,37.686077,,FDA
130,-3.992904,-27.864683,,FDA
131,-4.0023456,24.342457,,FDA
132,-4.6006665,-2.1710718,,FDA
133,-39.783463,-19.428562,,FDA
134,-25.398602,-40.704704,,FDA
135,16.505215,-32.358074,,FDA
136,5.950009,-15.914641,,FDA
137,-57.06028,3.6949975,,FDA
138,-43.01205,24.340502,,FDA
139,0.2441393,-3.050494,,FDA
140,-43.877495,25.797499,,FDA
141,2.5843637,-20.718035,,FDA
142,-17.745705,11.229776,,FDA
143,-24.855927,-40.65162,,FDA
144,-16.677618,-9.971321,,FDA
145,-6.9332137,-7.6634727,,FDA
146,-8.926358,-29.643728,,FDA
147,-27.516264,-43.03285,,FDA
148,28.984102,12.628844,,FDA
149,4.7259817,10.621042,,FDA
150,-2.4390268,20.893515,,FDA
151,-40.199554,36.043457,,FDA
152,-8.940422,-3.377095,,FDA
153,-30.16401,29.148058,,FDA
154,-24.134705,15.000276,,FDA
155,-4.2028923,-7.661444,,FDA
156,-17.123148,-11.988365,,FDA
157,-34.837685,34.938923,,FDA
158,3.0367365,20.476149,,FDA
159,-19.932009,-19.78576,,FDA
160,-17.32493,-21.873722,,FDA
161,-0.5238089,37.348694,,FDA
162,11.740991,32.39062,,FDA
163,21.383932,4.2602687,,FDA
164,-11.508626,31.132938,,FDA
165,-29.245197,-5.3420215,,FDA
166,14.51483,-14.342894,,FDA
167,20.955564,8.178437,,FDA
168,10.176461,-7.4867077,,FDA
169,-19.319977,30.182423,,FDA
170,-70.85292,2.5195644,,FDA
171,32.319115,3.4394994,,FDA
172,3.5841308,37.742195,,FDA
173,0.48579118,19.322104,,FDA
174,-1.8310386,16.006527,,FDA
175,6.019354,33.002823,,FDA
176,-53.277134,-10.460888,,FDA
177,-37.056873,-24.597155,,FDA
178,14.34965,1.8766767,,FDA
179,14.358374,1.9271591,,FDA
180,-3.7712328,-10.052535,,FDA
181,-36.68512,-1.9169002,,FDA
182,-35.910748,15.844123,,FDA
183,-28.52034,46.82799,,FDA
184,-13.339399,18.7669,,FDA
185,-7.484208,28.799105,,FDA
186,-53.042526,-10.38715,,FDA
187,-11.733443,6.225226,,FDA
188,-6.1595054,-33.008568,,FDA
189,0.040683415,8.584289,,FDA
190,14.115871,-1.7219474,,FDA
191,-28.688847,35.363968,,FDA
192,-20.190119,-39.330338,,FDA
193,-5.3363705,-32.457153,,FDA
194,-9.865541,27.023483,,FDA
195,-3.2033627,39.550423,,FDA
196,-17.915836,-31.005116,,FDA
197,-19.077585,6.78758,,FDA
198,4.698645,-30.428226,,FDA
199,-36.915092,-24.631918,,FDA
200,-31.248726,46.303635,,FDA
201,-5.263704,44.522964,,FDA
202,-3.1344092,-40.95871,,FDA
203,-39.78681,-19.446156,,FDA
204,-22.518946,-4.5442867,,FDA
205,-71.80402,5.149946,,FDA
206,-13.721431,-11.810487,,FDA
207,21.01624,12.343641,,FDA
208,-36.799557,-26.14386,,FDA
209,27.679457,-8.452105,,FDA
210,-7.185304,-1.5613135,,FDA
211,-15.633016,-0.9640925,,FDA
212,-9.963532,39.73072,,FDA
213,20.018854,3.6511033,,FDA
214,4.765576,-46.04245,,FDA
215,29.051987,12.232567,,FDA
216,-20.436455,-5.2210417,,FDA
217,-20.858177,-15.290184,,FDA
218,-10.708943,-33.852608,,FDA
219,-4.7137995,3.341522,,FDA
220,-2.5078883,-50.373146,,FDA
221,17.934797,-12.462963,,FDA
222,-59.491436,-22.196003,,FDA
223,-3.430923,-45.514732,,FDA
224,-2.1961098,-12.596757,,FDA
225,-1.1618178,9.27546,,FDA
226,-37.09421,6.0282826,,FDA
227,-15.467547,-17.52348,,FDA
228,-24.04873,-5.1164427,,FDA
229,12.086333,-39.437897,,FDA
230,-8.1687565,-11.845812,,FDA
231,-55.857567,6.5392175,,FDA
232,-13.518855,-18.93033,,FDA
233,-4.1359076,24.369371,,FDA
234,16.52426,-12.650416,,FDA
235,-41.387638,33.23665,,FDA
236,8.484289,-20.0965,,FDA
237,8.133029,-14.696961,,FDA
238,-7.3879924,25.17672,,FDA
239,-25.77276,-44.316475,,FDA
240,9.652556,8.989373,,FDA
241,-28.681255,35.358017,,FDA
242,-11.626288,45.90936,,FDA
243,4.7380953,-45.812958,,FDA
244,-22.704538,-25.939007,,FDA
245,-42.30465,13.540962,,FDA
246,21.250738,-6.419352,,FDA
247,-53.97284,-10.366309,,FDA
248,19.048758,19.420786,,FDA
249,-32.0,-9.282221,,FDA
250,-6.6443915,-27.781479,,FDA
251,-13.54977,6.918659,,FDA
252,-1.125395,-48.219807,,FDA
253,31.407644,7.399278,,FDA
254,-12.799926,26.821157,,FDA
255,-55.85002,-22.942936,,FDA
256,-8.783022,-21.173317,,FDA
257,-57.312126,4.4723115,,FDA
258,8.946463,22.70628,,FDA
259,-6.6751842,-12.864236,,FDA
260,-28.964916,29.585617,,FDA
261,-0.64383656,-11.292895,,FDA
262,-36.46534,19.990957,,FDA
263,-0.5108688,-9.532562,,FDA
264,-43.31475,-8.766639,,FDA
265,-55.85034,-22.942715,,FDA
266,20.079535,18.94355,,FDA
267,-10.873347,6.9998755,,FDA
268,-47.600307,-17.258644,,FDA
269,-32.417297,-33.536793,,FDA
270,-5.189949,-49.061417,,FDA
271,-32.19737,29.050314,,FDA
272,-73.59906,2.3718438,,FDA
273,-13.649084,6.930106,,FDA
274,-56.786194,2.972029,,FDA
275,15.451266,18.10855,,FDA
276,5.605789,-26.108671,,FDA
277,-29.446468,-6.4520383,,FDA
278,-15.886498,-8.888891,,FDA
279,-30.532722,28.627295,,FDA
280,9.541459,-9.838817,,FDA
281,19.138577,45.840065,,FDA
282,14.557482,-41.861843,,FDA
283,23.129005,-8.122754,,FDA
284,-15.111177,-36.174118,,FDA
285,5.033333,-45.11018,,FDA
286,-32.53307,-33.47757,,FDA
287,-14.784682,23.948048,,FDA
288,-27.647785,12.193043,,FDA
289,17.782955,-5.4618206,,FDA
290,-6.7804866,-3.7022333,,FDA
291,-30.57178,-38.529533,,FDA
292,-31.006823,44.742634,,FDA
293,-15.133338,-26.887558,,FDA
294,-29.670637,45.036697,,FDA
295,-5.95607,-33.06234,,FDA
296,-14.72193,-21.398697,,FDA
297,-3.4462888,-46.851234,,FDA
298,-54.723003,3.6647248,,FDA
299,-7.2058806,25.538698,,FDA
300,26.3736,7.8257637,,FDA
301,-9.348404,39.227127,,FDA
302,-16.67079,-2.497104,,FDA
303,-14.578188,10.104611,,FDA
304,-20.318504,1.1255919,,FDA
305,-25.72872,-15.743284,,FDA
306,-17.652113,28.651081,,FDA
307,-35.878124,37.05295,,FDA
308,-7.6019707,-11.451289,,FDA
309,-39.763035,-19.455976,,FDA
310,-1.3024162,-47.92364,,FDA
311,2.630786,-40.191616,,FDA
312,-13.448613,-10.580182,,FDA
313,-18.199387,-44.547493,,FDA
314,-11.673021,-8.475875,,FDA
315,-41.091537,34.418324,,FDA
316,-5.9085326,33.27175,,FDA
317,-15.597433,-15.363323,,FDA
318,-35.325256,-17.523678,,FDA
319,-36.482574,-2.4718797,,FDA
320,-71.86523,3.147797,,FDA
321,-22.786743,-23.45643,,FDA
322,-43.109184,-9.075753,,FDA
323,-24.28774,31.00297,,FDA
324,-37.297287,40.755096,,FDA
325,-10.944135,-35.449608,,FDA
326,20.10192,18.610859,,FDA
327,27.483635,-13.457096,,FDA
328,11.184497,31.70258,,FDA
329,-30.235548,-19.871332,,FDA
330,-6.9303713,17.918894,,FDA
331,3.7132154,-38.1238,,FDA
332,-38.83949,38.87387,,FDA
333,-37.588642,6.4629626,,FDA
334,-5.0314536,-45.96069,,FDA
335,-43.234066,-30.166578,,FDA
336,-13.358585,21.13606,,FDA
337,8.081581,1.2239208,,FDA
338,-10.271255,40.503098,,FDA
339,-28.738186,-32.114548,,FDA
